"","RRN-SKG2-p1-65","RRN-SKG2-p1-66","RRN-SKG2-p1-67","RRN-SKG2-p1-68","RRN-SKG2-p1-69","RRN-SKG2-p1-70","RRN-SKG2-p1-71","RRN-SKG2-p1-72"
"768377abe500ad4d09c43a4532e533b1",2109,617,340,3329,281,2112,1736,184
"c12b77b8b00eee715945f54d3ce0bd87",0,0,0,0,0,0,0,0
"caa314c8bbe94ec49c4b5e7ac761c89c",2691,896,420,5042,98,3179,282,1046
"db35c906865fb1665ab2ed219d1e567e",836,25,2065,112,168,206,1643,144
"c40d1ea1bab89e3c59c66d9ebba95dbd",3541,1453,1449,744,2219,1377,737,322
"cece12865e81c96a523b3bb6a4511561",237,1048,54,298,11,482,1549,66
"e37bd8d25c4f0d8551e6c60839a726c6",1781,1145,645,2897,1842,810,698,1524
"4e0bb36a439dd3fb6aed584240302bf8",1898,1636,674,591,3429,328,1367,2658
"e7992c99e4dc5a41a9d2095b60916fb7",2982,583,468,2293,437,981,1289,55
"be89b9223dafa1f4d44080e644338f7d",0,0,0,0,0,0,0,0
"c3342d2a9a35fb23f494d299efedfcb9",0,0,0,0,0,0,0,0
"ab4f6ce559f19ba6367b9585e0c52d1d",1741,706,95,719,124,177,506,227
"cd2e6430004b650c755662597eaec627",1262,1235,521,0,190,1711,638,162
"456995cfe33fb271939359fb93d62adc",354,29,1791,31,225,231,876,194
"b5fd958c94be2774cec38e5b7dd9d7a0",697,0,123,1392,115,604,298,278
"e78f05269994d9639449c5f3b04e085e",214,47,67,86,108,421,75,45
"a15a22832ca67b051e451c8ce4ea5fcb",929,234,35,180,49,592,140,86
"311489528f0a97315baae027ec1de217",1055,0,909,1104,191,81,499,339
"2061ea71b0d492dad2a243d6b359a3e7",827,315,172,500,101,275,139,111
"a009250174a6396c22cbd6d4883ace66",0,0,2990,1548,60,0,172,454
"654b48c81387ba95154eec6fef598518",149,281,1544,57,404,42,66,202
"ac098a5f3395859bc2262b73ab81b31a",515,308,873,277,110,0,596,615
"714048209d2669178f0e2fb23837d0b7",0,436,0,77,82,0,89,632
"2c84a40f19efd36d4e86812cf7091ac5",654,19,1196,10,24,68,76,109
"7196309e808ea0a0343569ba13b6475a",436,131,821,172,1053,163,117,662
"a5061f5eecd9cbee899a26a2d9578156",604,426,10,668,69,877,26,32
"f5e7b0432a0779c0c404e9453474c530",778,315,0,198,1165,58,0,65
"ff34f3e665cf5786d9920bf736956fb4",317,32,0,0,45,241,0,155
"41eb3683907ae630bf57caeb4108fee8",537,221,344,335,31,328,245,150
"b1d97c60c73767882714fa378b70e01c",1022,0,1496,272,256,37,263,779
"b20ed1130c0078768af7146b7d1daecb",458,166,17,0,776,136,201,45
"a86625c0ccfc39fafc21cb9c7ba47373",262,132,40,364,19,479,437,100
"1568cee1e185a2be21b1b6b742cfed5f",28,0,46,268,11,171,257,213
"683d3199158cc84e30038d48cfe54e06",485,131,62,507,0,407,334,0
"d99cb74080ad60c13235050ef54d2e92",0,0,165,0,0,103,0,348
"c0a91f20b56212f02390bd7056dd0a55",931,0,1335,234,244,35,185,640
"92f0b3cf53e4c5c532d9bfd4cee8e2f9",0,20,0,0,416,140,0,339
"3094accdad582bf23aacdbd1522d0b5a",0,428,0,207,624,191,212,401
"a6c8365b5ed70eb46c4b19bc65769ffe",593,137,12,489,21,444,60,93
"798dd9a3facfa4088a8d5377f569f80f",223,284,341,65,582,87,203,106
"76f5d77ce2b8d7de1d4f7e29ffe5eb6f",605,106,0,0,742,119,50,113
"125f04f41cc107c9176bdabafecbbed4",222,62,92,272,0,172,80,92
"ae315182401e59d290661d54fc92c39e",594,70,196,187,72,63,96,0
"3ac588b0a9ed2cfd00a52eec1594b042",277,30,60,162,97,164,297,166
"5a1b49ed2eeb1f595a07330646fa90d6",33,0,48,729,43,297,142,82
"edb57125ed61b2ca06d40c1565c17126",0,0,0,0,0,113,0,0
"b57cb5f28c4b8e82daa1910674eb0b2b",236,171,0,103,31,100,51,0
"ef55bce7ac954799f71a07aa558d6376",447,171,0,0,0,539,0,0
"e40199ab8d6807f6ca149241a881a8d0",164,117,605,88,314,29,283,181
"d8dbddd14d3d62e80609081df3a3d322",235,274,0,308,103,250,0,0
"cd1032dccdcdadb3b177b8bfd184fe52",537,0,56,499,10,10,22,46
"2d8190871d82fb3c2841f72e3cf0724b",0,0,0,0,0,0,0,0
"abcab8af0afb7543cac830a57a526908",209,273,0,0,54,212,0,0
"c924dab705d2e28608e074f1268fae86",0,0,303,240,122,99,90,343
"c17fc141d99b421461df8379095734d1",0,255,0,172,365,127,186,392
"f27c18211f38a2b8824f2a0ffa75d352",9,0,0,6,54,374,134,143
"fa359e01cdc3abc65f7bc2bd1258c65b",0,36,16,0,0,0,0,0
"c10ed73be34cfdadf76bb611a2a56030",287,58,209,210,28,72,56,42
"0d79a0dac9f32c534e53b4c7dedfbf39",0,100,111,0,317,44,118,40
"24d5e2004c0981906654773dba703657",0,69,50,121,23,204,147,64
"47e2903c857da0c18a5cdd40793dc76c",200,158,54,12,379,9,321,147
"8cd009f35d2afc61f00069615c164c30",145,39,800,23,260,21,212,193
"295f37235bb34611b24ddb2577c9537e",0,0,0,0,0,0,0,0
"4c925188514712da5616a5aca0fb2fa8",0,0,0,0,0,0,0,0
