"","SampleLabel","MouseID","Sex","Genotype","TimePoint","Tx","SampleInfo","Row","Column","type","SKG_Exp","replicate","ID","exp","plate","Day","Cage","FacilityOrigin","DaysPost","JA_Group","JA_Sex","JA_Abx","JA_Collection"
"RRN-SKG1-p1-17","RRN-SKG1-p1-17","3A","M","SKGNak","1","0",NA,"A"," 3","feces","SKGabx1","0","3M01","skg1","plate1",NA,NA,NA,NA,"3","M","0","1"
"RRN-SKG1-p1-18","RRN-SKG1-p1-18","4B","M","SKGNak","1","0",NA,"B"," 3","feces","SKGabx1","0","3M01","skg1","plate1",NA,NA,NA,NA,"3","M","0","1"
"RRN-SKG1-p1-20","RRN-SKG1-p1-20","2E","F","SKGNak","1","1",NA,"D"," 3","feces","SKGabx1","0","3F11","skg1","plate1",NA,NA,NA,NA,"3","F","1","1"
"RRN-SKG1-p1-21","RRN-SKG1-p1-21","53D","F","SKGNakNur","1","1",NA,"E"," 3","feces","SKGabx1","0","2F11","skg1","plate1",NA,NA,NA,NA,"2","F","1","1"
"RRN-SKG1-p1-22","RRN-SKG1-p1-22","69A","M","WTNurF7","1","0",NA,"F"," 3","feces","SKGabx1","0","1M01","skg1","plate1",NA,NA,NA,NA,"1","M","0","1"
"RRN-SKG1-p1-23","RRN-SKG1-p1-23","70B","M","WTNurF7","1","0",NA,"G"," 3","feces","SKGabx1","0","1M01","skg1","plate1",NA,NA,NA,NA,"1","M","0","1"
"RRN-SKG1-p1-24","RRN-SKG1-p1-24","71C","M","WTNurF7","1","0",NA,"H"," 3","feces","SKGabx1","0","1M01","skg1","plate1",NA,NA,NA,NA,"1","M","0","1"
"RRN-SKG1-p1-25","RRN-SKG1-p1-25","72D","M","WTNurF7","1","0",NA,"A"," 4","feces","SKGabx1","0","1M01","skg1","plate1",NA,NA,NA,NA,"1","M","0","1"
"RRN-SKG1-p1-27","RRN-SKG1-p1-27","22BD","M","SKGNakNurF6","1","0",NA,"C"," 4","feces","SKGabx1","0","2M01","skg1","plate1",NA,NA,NA,NA,"2","M","0","1"
"RRN-SKG1-p1-29","RRN-SKG1-p1-29","43A","M","SKGBoyJ","1","1",NA,"E"," 4","feces","SKGabx1","0","3M11","skg1","plate1",NA,NA,NA,NA,"3","M","1","1"
"RRN-SKG1-p1-30","RRN-SKG1-p1-30","44B","M","SKGBoyJ","1","1",NA,"F"," 4","feces","SKGabx1","0","3M11","skg1","plate1",NA,NA,NA,NA,"3","M","1","1"
"RRN-SKG1-p1-32","RRN-SKG1-p1-32","46D","M","SKGBoyJ","1","1",NA,"H"," 4","feces","SKGabx1","0","3M11","skg1","plate1",NA,NA,NA,NA,"3","M","1","1"
"RRN-SKG1-p1-33","RRN-SKG1-p1-33","20A","M","SKGBoyJ","1","1",NA,"A"," 5","feces","SKGabx1","0","3M11","skg1","plate1",NA,NA,NA,NA,"3","M","1","1"
"RRN-SKG1-p1-34","RRN-SKG1-p1-34","21B","M","SKGBoyJ","1","1",NA,"B"," 5","feces","SKGabx1","0","3M11","skg1","plate1",NA,NA,NA,NA,"3","M","1","1"
"RRN-SKG1-p1-35","RRN-SKG1-p1-35","77B","F","WTNurF7","2","1",NA,"C"," 5","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-36","RRN-SKG1-p1-36","78C","F","WTNurF7","2","1",NA,"D"," 5","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-37","RRN-SKG1-p1-37","76A","F","WTNurF7","2","1",NA,"E"," 5","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-38","RRN-SKG1-p1-38","61A","F","WTNurF6","2","1",NA,"F"," 5","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-39","RRN-SKG1-p1-39","62B","F","WTNurF6","2","1",NA,"G"," 5","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-40","RRN-SKG1-p1-40","63C*","F","WTNurF6","2","1",NA,"H"," 5","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-41","RRN-SKG1-p1-41","68A","F","WTNurF6","2","1",NA,"A"," 6","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-43","RRN-SKG1-p1-43","64D*","F","WTNurF6","2","1",NA,"C"," 6","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-44","RRN-SKG1-p1-44","65E*","F","WTNurF6","2","1",NA,"D"," 6","feces","SKGabx1","0","1F12","skg1","plate1",NA,NA,NA,NA,"1","F","1","2"
"RRN-SKG1-p1-45","RRN-SKG1-p1-45","15A","M","SKGNakNurF6","2","1",NA,"E"," 6","feces","SKGabx1","0","2M12","skg1","plate1",NA,NA,NA,NA,"2","M","1","2"
"RRN-SKG1-p1-46","RRN-SKG1-p1-46","16B","M","SKGNakNurF6","2","1",NA,"F"," 6","feces","SKGabx1","0","2M12","skg1","plate1",NA,NA,NA,NA,"2","M","1","2"
"RRN-SKG1-p1-47","RRN-SKG1-p1-47","17C","M","SKGNakNurF6","2","1",NA,"G"," 6","feces","SKGabx1","0","2M12","skg1","plate1",NA,NA,NA,NA,"2","M","1","2"
"RRN-SKG1-p1-48","RRN-SKG1-p1-48","18D","M","SKGNakNurF6","2","1",NA,"H"," 6","feces","SKGabx1","0","2M12","skg1","plate1",NA,NA,NA,NA,"2","M","1","2"
"RRN-SKG1-p1-49","RRN-SKG1-p1-49","2E","F","SKGNak","2","1",NA,"A"," 7","feces","SKGabx1","0","3F12","skg1","plate1",NA,NA,NA,NA,"3","F","1","2"
"RRN-SKG1-p1-50","RRN-SKG1-p1-50","7A*","F","SKGNak","2","1",NA,"B"," 7","feces","SKGabx1","0","3F12","skg1","plate1",NA,NA,NA,NA,"3","F","1","2"
"RRN-SKG1-p1-51","RRN-SKG1-p1-51","8B*","F","SKGNak","2","1",NA,"C"," 7","feces","SKGabx1","0","3F12","skg1","plate1",NA,NA,NA,NA,"3","F","1","2"
"RRN-SKG1-p1-52","RRN-SKG1-p1-52","9C*","F","SKGNak","2","1",NA,"D"," 7","feces","SKGabx1","0","3F12","skg1","plate1",NA,NA,NA,NA,"3","F","1","2"
"RRN-SKG1-p1-53","RRN-SKG1-p1-53","53D","F","SKGNakNur","2","1",NA,"E"," 7","feces","SKGabx1","0","2F12","skg1","plate1",NA,NA,NA,NA,"2","F","1","2"
"RRN-SKG1-p1-54","RRN-SKG1-p1-54","23AD*","F","SKGNakNur","2","1",NA,"F"," 7","feces","SKGabx1","0","2F12","skg1","plate1",NA,NA,NA,NA,"2","F","1","2"
"RRN-SKG1-p1-55","RRN-SKG1-p1-55","24B/BC*","F","SKGNakNurF6","2","0",NA,"G"," 7","feces","SKGabx1","0","2F02","skg1","plate1",NA,NA,NA,NA,"2","F","0","2"
"RRN-SKG1-p1-56","RRN-SKG1-p1-56","50A","F","SKGNakNurF5","2","0",NA,"H"," 7","feces","SKGabx1","0","2F02","skg1","plate1",NA,NA,NA,NA,"2","F","0","2"
"RRN-SKG1-p1-57","RRN-SKG1-p1-57","51B","F","SKGNakNurF5","2","0",NA,"A"," 8","feces","SKGabx1","0","2F02","skg1","plate1",NA,NA,NA,NA,"2","F","0","2"
"RRN-SKG1-p1-58","RRN-SKG1-p1-58","52C","F","SKGNakNurF5","2","0",NA,"B"," 8","feces","SKGabx1","0","2F02","skg1","plate1",NA,NA,NA,NA,"2","F","0","2"
"RRN-SKG1-p1-59","RRN-SKG1-p1-59","5C","M","SKGNak","2","0",NA,"C"," 8","feces","SKGabx1","0","3M02","skg1","plate1",NA,NA,NA,NA,"3","M","0","2"
"RRN-SKG1-p1-60","RRN-SKG1-p1-60","6D","M","SKGNak","2","0",NA,"D"," 8","feces","SKGabx1","0","3M02","skg1","plate1",NA,NA,NA,NA,"3","M","0","2"
"RRN-SKG1-p1-61","RRN-SKG1-p1-61","3A","M","SKGNak","2","0",NA,"E"," 8","feces","SKGabx1","0","3M02","skg1","plate1",NA,NA,NA,NA,"3","M","0","2"
"RRN-SKG1-p1-62","RRN-SKG1-p1-62","4B","M","SKGNak","2","0",NA,"F"," 8","feces","SKGabx1","0","3M02","skg1","plate1",NA,NA,NA,NA,"3","M","0","2"
